site	PSI-MS_name	name	composition	priority
K	Delta:H(2)C(5)	Delta:H(2)C(5)	H(2) C(5)	0
K	null	PS_Hapten	H(4) C(7) O(2)	0
K	null	thioacylPA	H(9) C(6) N O(2) S	0
K	Phosphoadenosine	Phosphoadenosine	H(12) C(10) N(5) O(6) P	0
K	Methyl	Methyl	H(2) C	0
K	null	Xlink:DST	H(4) C(4) O(5)	0
K	DimethylpyrroleAdduct	DimethylpyrroleAdduct	H(6) C(6)	0
K	null	DEDGFLYMVYASQETFG	H(122) C(89) N(18) O(31) S	0
K	SPITC:13C(6)	SPITC:13C(6)	H(5) C 13C(6) N O(3) S(2)	0
K	Crotonaldehyde	Crotonaldehyde	H(6) C(4) O	0
K	null	PEITC	H(9) C(9) N S	0
K	null	Dap-DSP	H(16) C(13) N(2) O(4) S(2)	0
K	null	HCysThiolactone	H(7) C(4) N O S	0
K	null	methylsulfonylethyl	H(6) C(3) O(2) S	0
K	null	4-ONE+Delta:H(-2)O(-1)	H(12) C(9) O	0
K	null	Saligenin	H(6) C(7) O	0
K	null	4-ONE	H(14) C(9) O(2)	0
K	NHS-LC-Biotin	NHS-LC-Biotin	H(25) C(16) N(3) O(3) S	0
K	Lys->Allysine	Lys->Allysine	H(-3) N(-1) O	0
K	Cytopiloyne	Cytopiloyne	H(22) C(19) O(7)	0
K	null	LG-anhyropyrrole	H(26) C(20) O(2)	0
K	null	Xlink:DSS-NH2	H(13) C(8) N O(2)	0
K	Myristoyl	Myristoyl	H(26) C(14) O	0
K	null	Menadione-HQ	H(8) C(11) O(2)	0
K	null	TNBS	H C(6) N(3) O(6)	0
K	Trimethyl	Trimethyl	H(6) C(3)	0
K	Dioxidation	Dioxidation	O(2)	0
K	Nmethylmaleimide	Nmethylmaleimide	H(5) C(5) N O(2)	0
K	null	pupylation	H(13) C(9) N(3) O(5)	0
K	null	Phosphogluconoylation	H(11) C(6) O(9) P	0
K	null	Biotin:Thermo-21328	H(23) C(15) N(3) O(3) S(3)	0
K	null	OxLysBiotinRed	H(26) C(16) N(4) O(3) S	0
K	Sulfo-NHS-LC-LC-Biotin	Sulfo-NHS-LC-LC-Biotin	H(36) C(22) N(4) O(4) S	0
K	null	CresylSaligeninPhosphate	H(13) C(14) O(4) P	0
K	Ethyl	Ethyl	H(4) C(2)	0
K	Delta:H(2)C(2)	Delta:H(2)C(2)	H(2) C(2)	0
K	GG	GG	H(6) C(4) N(2) O(2)	0
K	null	Xlink:DSS	H(12) C(8) O(3)	0
K	PyruvicAcidIminyl	PyruvicAcidIminyl	H(2) C(3) O(2)	0
K	null	LG-pyrrole	H(28) C(20) O(3)	0
K	null	Ethylphosphate	H(5) C(2) O(3) P	0
K	Ethanolyl	Ethanolyl	H(4) C(2) O	0
K	Hydroxytrimethyl	Hydroxytrimethyl	H(7) C(3) O	0
K	null	maleimide5	H(79) C(49) N(7) O(33)	0
K	LRGG	LRGG	H(29) C(16) N(7) O(4)	0
K	Delta:H(2)C(3)	Delta:H(2)C(3)	H(2) C(3)	0
K	null	EDEDTIDVFQQQTGG	H(102) C(69) N(18) O(30)	0
K	null	HydroxymethylOP	H(4) C(6) O(2)	0
K	null	Deoxyhypusine	H(9) C(4) N	0
K	null	O-pinacolylmethylphosphonate	H(15) C(7) O(2) P	0
K	Methylpyrroline	Methylpyrroline	H(7) C(6) N O	0
K	null	Gly	H(3) C(2) N O	0
K	null	Xlink:DMP-de	H(12) C(7) N(2) O	0
K	null	Diethylphosphate	H(9) C(4) O(3) P	0
K	Xlink:DTBP[87]	Xlink:DTBPc	H(5) C(3) N S	0
K	Xlink:DTSSP[88]	Thioacyl	H(4) C(3) O S	0
K	Hex	Hex	Hex	0
K	Carbamidomethyl	Carbamidomethyl	H(3) C(2) N O	0
K	null	iodoTMT	H(28) C(16) N(4) O(3)	0
K	Carbamyl	Carbamyl	H C N O	0
K	null	maleimide3	H(59) C(37) N(7) O(23)	0
K	Pyridylacetyl	Pyridylacetyl	H(5) C(7) N O	0
K	Glucosylgalactosyl	Glucosylgalactosyl	O Hex(2)	0
K	null	Xlink:DTSSP	H(8) C(6) O(3) S(2)	0
K	FP-Biotin	FP-Biotin	H(49) C(27) N(4) O(5) P S	0
K	null	Acetyldeoxyhypusine	H(11) C(6) N	0
K	Delta:H(6)C(6)O(1)	Delta:H(6)C(6)O(1)	H(6) C(6) O	0
K	null	IMEHex(2)NeuAc(1)	H(3) C(2) N S Hex(2) NeuAc	0
K	null	Biotin:Thermo-21325	H(45) C(34) N(7) O(7) S	0
K	Propionamide	Propionamide	H(5) C(3) N O	0
K	Diethyl	Diethyl	H(8) C(4)	0
K	Delta:H(4)C(3)O(1)	Delta:H(4)C(3)O(1)	H(4) C(3) O	0
K	null	HN3_mustard	H(13) C(6) N O(2)	0
K	null	NHS-fluorescein	H(21) C(27) N O(7)	0
K	Carboxy	Carboxy	C O(2)	0
K	null	3-phosphoglyceryl	H(5) C(3) O(6) P	0
K	BHT	BHT	H(22) C(15) O	0
K	null	HN2_mustard	H(11) C(5) N O	0
K	null	GGQ	H(14) C(9) N(4) O(4)	0
K	AccQTag	AccQTag	H(6) C(10) N(2) O	0
K	null	Biotin:Thermo-21330	H(35) C(21) N(3) O(7) S	0
K	Diisopropylphosphate	Diisopropylphosphate	H(13) C(6) O(3) P	0
K	BisANS	BisANS	H(22) C(32) N(2) O(6) S(2)	0
K	null	Dicarbamidomethyl	H(6) C(4) N(2) O(2)	0
K	null	Cresylphosphate	H(7) C(7) O(3) P	0
K	null	Xlink:SSD	H(15) C(12) N O(5)	0
K	null	Lys->CamCys	H(-4) C(-1) O S	0
K	null	Delta:H(6)C(3)O(1)	H(6) C(3) O	0
K	null	BITC	H(7) C(8) N S	0
K	SPITC	SPITC	H(5) C(7) N O(3) S(2)	0
K	null	HNE-Delta:H(2)O	H(14) C(9) O	0
K	null	Acetylhypusine	H(11) C(6) N O	0
K	null	Xlink:EGS244	H(12) C(10) O(7)	0
K	null	HNE-BAHAH	H(45) C(25) N(5) O(4) S	0
K	null	Propiophenone	H(8) C(9) O	0
K	Delta:H(2)C(3)O(1)	Delta:H(2)C(3)O(1)	H(2) C(3) O	0
K	Oxidation	Oxidation	O	0
K	Acetyl	Acetyl	H(2) C(2) O	1
K	AEBS	AEBS	H(9) C(8) N O(2) S	0
K	Delta:H(4)C(6)	Delta:H(4)C(6)	H(4) C(6)	0
K	Didehydroretinylidene	Didehydroretinylidene	H(24) C(20)	0
K	null	Crotonyl	H(4) C(4) O	0
K	Piperidine	Piperidine	H(8) C(5)	0
K	Cytopiloyne+water	Cytopiloyne+water	H(24) C(19) O(8)	0
K	CAMthiopropanoyl	CAMthiopropanoyl	H(7) C(5) N O(2) S	0
K	Delta:H(4)C(3)	Delta:H(4)C(3)	H(4) C(3)	0
K	Formyl	Formyl	C O	0
K	null	Biotin:Thermo-88310	H(16) C(10) N(2) O(2)	0
K	Delta:H(8)C(6)O(2)	Delta:H(8)C(6)O(2)	H(8) C(6) O(2)	0
K	null	NQIGG	H(31) C(19) N(7) O(7)	0
K	null	VIEVYQEQTGG	H(81) C(53) N(13) O(19)	0
K	null	LG-anhydrolactam	H(26) C(20) O(3)	0
K	Lys-loss	Lys-loss	H(-12) C(-6) N(-2) O(-1)	0
K	null	LG-Hlactam-K	H(28) C(20) O(5)	0
K	null	iodoTMT6plex	H(28) C(12) 13C(4) N(3) 15N O(3)	0
K	Hex(2)	Hex(2)	Hex(2)	0
K	null	Xlink:EGS115	H(5) C(4) N O(3)	0
K	Palmitoyl	Palmitoyl	H(30) C(16) O	0
K	Carboxymethyl	Carboxymethyl	H(2) C(2) O(2)	0
K	null	OxLysBiotin	H(24) C(16) N(4) O(3) S	0
K	Nethylmaleimide+water	Nethylmaleimide+water	H(9) C(6) N O(3)	0
K	Delta:H(4)C(2)	Delta:H(4)C(2)	H(4) C(2)	0
K	Dimethyl	Dimethyl	H(4) C(2)	0
K	null	Iodoacetanilide:13C(6)	H(7) C(2) 13C(6) N O	0
K	BHTOH	BHTOH	H(22) C(15) O(2)	0
K	null	ZGB	H(53) B C(37) N(6) O(6) F(2) S	0
K	null	EEEDVIEVYQEQTGG	H(107) C(72) N(17) O(31)	0
K	null	QTGG	H(21) C(13) N(5) O(6)	0
K	null	Label:2H(4)+GG	H(2) 2H(4) C(4) N(2) O(2)	0
K	null	VFQQQTGG	H(55) C(37) N(11) O(12)	0
K	Biotin	Biotin	H(14) C(10) N(2) O(2) S	0
K	HNE	HNE	H(16) C(9) O(2)	0
K	SMA	SMA	H(9) C(6) N O(2)	0
K	Dansyl	Dansyl	H(11) C(12) N O(2) S	0
K	Phosphoguanosine	Phosphoguanosine	H(12) C(10) N(5) O(7) P	0
K	null	SUMO2135	H(137) C(90) N(21) O(37) S	0
K	null	LRGG+dimethyl	H(33) C(18) N(7) O(4)	0
K	null	Iodoacetanilide	H(7) C(8) N O	0
K	NDA	NDA	H(5) C(13) N	0
K	null	SUMO3549	H(224) C(150) N(38) O(60) S	0
K	null	LG-lactam-K	H(28) C(20) O(4)	0
K	null	RNPXL	H(13) C(9) N(2) O(9) P	0
K	PyridoxalPhosphate	PyridoxalPhosphate	H(8) C(8) N O(5) P	0
K	C8-QAT	C8-QAT	H(29) C(14) N O	0
K	Lipoyl	Lipoyl	H(12) C(8) O S(2)	0
K	null	EQIGG	H(32) C(20) N(6) O(8)	0
K	null	QEQTGG	H(36) C(23) N(8) O(11)	0
K	ADP-Ribosyl	ADP-Ribosyl	H(13) C(10) N(5) O(9) P(2) Pent	0
K	null	Xlink:DMP	H(10) C(7) N(2)	0
K	FTC	FTC	H(15) C(21) N(3) O(5) S	0
K	Guanidinyl	Guanidinyl	H(2) C N(2)	0
K	null	glycidamide	H(5) C(3) N O(2)	0
K	Menadione	Menadione	H(6) C(11) O(2)	0
K	null	TMT	H(20) C(12) N(2) O(2)	0
K	null	Lys->MetOx	H(-3) C(-1) N(-1) O S	0
K	Didehydro	Didehydro	H(-2)	0
K	Xlink:DMP[154]	Xlink:DMP-s	H(14) C(8) N(2) O	0
K	null	Galactosyl	O Hex	0
K	HexN	HexN	HexN	0
K	null	biotinAcrolein298	H(22) C(13) N(4) O(2) S	0
K	null	DNCB_hapten	H(2) C(6) N(2) O(4)	0
K	null	LRGG+methyl	H(31) C(17) N(7) O(4)	0
K	null	maleimide	H(3) C(4) N O(2)	0
K	null	ethylsulfonylethyl	H(8) C(4) O(2) S	0
K	null	Carboxyethylpyrrole	H(6) C(7) O(2)	0
K	null	Lysbiotinhydrazide	H(15) C(10) N(3) O(2) S	0
K	Phospho	Phospho	H O(3) P	0
K	null	Butyryl	H(6) C(4) O	0
K	null	betaFNA	H(30) C(25) N(2) O(6)	0
K	Amidine	Amidine	H(3) C(2) N	0
K	null	Xlink:DFDNB	H(2) C(6) N(2) O(4) F(2)	0
K	Hep	Hep	Hep	0
K	Retinylidene	Retinylidene	H(26) C(20)	0
K	Carboxyethyl	Carboxyethyl	H(4) C(3) O(2)	0
K	Hypusine	Hypusine	H(9) C(4) N O	0
K	null	benzylguanidine	H(8) C(8) N(2)	0
K	Lys->AminoadipicAcid	Lys->AminoadipicAcid	H(-3) N(-1) O(2)	0
K	null	QQQTGG	H(37) C(23) N(9) O(10)	0
K	HNE+Delta:H(2)	HNE+Delta:H(2)	H(18) C(9) O(2)	0
K	null	BDMAPP	H(12) C(11) N O Br	0
K	null	PyridoxalPhosphateH2	H(10) C(8) N O(5) P	0
K	null	Delta:H(8)C(6)O(1)	H(8) C(6) O	0
K	null	bisANS-sulfonates	H(25) C(32) N(2)	0
L	HNE	HNE	H(16) C(9) O(2)	0
L	null	trifluoro	H(-3) F(3)	0
L	Methyl	Methyl	H(2) C	0
L	null	Leu->MetOx	H(-2) C(-1) O S	0
M	Delta:S(-1)Se(1)	Delta:S(-1)Se(1)	S(-1) Se	0
M	Carbamyl	Carbamyl	H C N O	0
M	null	BMP-piperidinol	H(17) C(18) N O	0
M	null	Met-loss	H(-9) C(-5) N(-1) O(-1) S(-1)	0
M	Dioxidation	Dioxidation	O(2)	0
M	Dethiomethyl	Dethiomethyl	H(-4) C(-1) S(-1)	0
M	null	AHA-SS_CAM	H(12) C(9) N(6) O(3)	0
M	null	EHD-diphenylpentanone	H(18) C(18) O(2)	0
M	null	AHA-SS	H(9) C(7) N(5) O(2)	0
M	null	Met->Aha	H(-3) C(-1) N(3) S(-1)	0
M	Met->Hse	Met->Hse	H(-2) C(-1) O S(-1)	0
M	null	AHA-Alkyne	H(5) C(4) N(5) O S(-1)	0
M	null	Met-loss+Acetyl	H(-7) C(-3) N(-1) S(-1)	0
M	Oxidation	Oxidation	O	1
M	null	Homocysteic_acid	H(-2) C(-1) O(3)	0
M	null	Met->Hpg	H(-2) C S(-1)	0
M	null	AHA-Alkyne-KDDDD	H(37) C(26) N(11) O(14) S(-1)	0
M	Met->Hsl	Met->Hsl	H(-4) C(-1) S(-1)	0
M	Carboxy	Carboxy	C O(2)	0
M	null	Label:13C(1)2H(3)+Oxidation	H(-3) 2H(3) C(-1) 13C O	0
M	null	Biotin-PEG-PRA	H(42) C(26) N(8) O(7)	0
N	null	dHex(1)Hex(7)HexNAc(4)	dHex Hex(7) HexNAc(4)	0
N	null	Hex(4)HexNAc(3)NeuAc(2)	Hex(4) HexNAc(3) NeuAc(2)	0
N	null	Hex(3)HexNAc(4)Sulf(1)	O(3) S Hex(3) HexNAc(4)	0
N	Oxidation	Oxidation	O	0
N	dHex(1)Hex(4)HexNAc(4)	dHex(1)Hex(4)HexNAc(4)	dHex Hex(4) HexNAc(4)	0
N	null	Hex(4)HexNAc(4)Pent(1)	Hex(4) HexNAc(4) Pent(1)	0
N	null	dHex(3)Hex(3)HexNAc(4)Pent(1)	dHex(3) Hex(3) HexNAc(4) Pent(1)	0
N	null	Hex(5)HexNAc(5)	Hex(5) HexNAc(5)	0
N	null	Hex(3)HexNAc(2)NeuAc(1)	Hex(3) HexNAc(2) NeuAc(1)	0
N	ADP-Ribosyl	ADP-Ribosyl	H(13) C(10) N(5) O(9) P(2) Pent	0
N	null	dHex(2)Hex(3)HexNAc(3)	dHex(2) Hex(3) HexNAc(3)	0
N	null	Hex(7)HexNAc(4)	Hex(7) HexNAc(4)	0
N	null	Hex(4)HexNAc(5)NeuAc(1)	Hex(4) HexNAc(5) NeuAc(1)	0
N	null	dHex(1)Hex(4)HexNAc(3)NeuGc(1)	dHex(1) Hex(4) HexNAc(3) NeuGc(1)	0
N	null	Hex(5)HexNAc(3)Pent(1)	Hex(5) HexNAc(3) Pent(1)	0
N	Hex(1)HexNAc(2)dHex(1)Pent(1)	Hex(1)HexNAc(2)dHex(1)Pent(1)	Pent dHex Hex HexNAc(2)	0
N	null	dHex(1)Hex(2)HexNAc(3)	dHex(1) Hex(2) HexNAc(3)	0
N	null	Hex(3)HexNAc(7)	Hex(3) HexNAc(7)	0
N	null	Hex(3)HexNAc(6)Sulf(1)	O(3) S Hex(3) HexNAc(6)	0
N	null	dHex(2)Hex(4)HexNAc(3)Pent(1)	dHex(2) Hex(4) HexNAc(3) Pent(1)	0
N	null	dHex(2)Hex(4)HexNAc(4)	dHex(2) Hex(4) HexNAc(4)	0
N	Hex(3)HexNAc(4)	Hex(3)HexNAc(4)	Hex(3) HexNAc(4)	0
N	null	dHex(1)Hex(5)HexNAc(2)	dHex(1) Hex(5) HexNAc(2)	0
N	null	dHex(1)Hex(4)HexNAc(3)Sulf(1)	O(3) S dHex Hex(4) HexNAc(3)	0
N	null	dHex(1)Hex(3)HexNAc(4)NeuAc(1)	dHex(1) Hex(3) HexNAc(4) NeuAc(1)	0
N	null	dHex(1)Hex(4)HexNAc(4)NeuAc(1)	dHex(1) Hex(4) HexNAc(4) NeuAc(1)	0
N	null	Hex(2)HexNAc(2)NeuAc(1)	Hex(2) HexNAc(2) NeuAc(1)	0
N	null	dHex(1)Hex(4)HexNAc(4)NeuAc(1)Sulf(1)	O(3) S dHex Hex(4) HexNAc(4) NeuAc	0
N	null	Hex(5)HexNAc(4)NeuAc(1)Sulf(1)	O(3) S Hex(5) HexNAc(4) NeuAc	0
N	null	dHex(2)Hex(4)HexNAc(4)Pent(1)	dHex(2) Hex(4) HexNAc(4) Pent(1)	0
N	null	dHex(2)Hex(4)HexNAc(5)	dHex(2) Hex(4) HexNAc(5)	0
N	null	dHex(1)Hex(4)HexNAc(3)NeuAc(1)	dHex(1) Hex(4) HexNAc(3) NeuAc(1)	0
N	null	Hex(3)HexNAc(3)Pent(1)	Hex(3) HexNAc(3) Pent(1)	0
N	null	Hex(6)HexNAc(4)Me(3)	Hex(6) HexNAc(4) Me(3)	0
N	null	Hex(4)HexNAc(3)NeuAc(1)	Hex(4) HexNAc(3) NeuAc(1)	0
N	null	dHex(1)Hex(6)HexNAc(4)	dHex(1) Hex(6) HexNAc(4)	0
N	null	dHex(1)Hex(5)HexNAc(3)	dHex(1) Hex(5) HexNAc(3)	0
N	null	Tris	H(10) C(4) N O(2)	0
N	Dehydrated	Dehydrated	H(-2) O(-1)	0
N	null	Hex(4)HexNAc(3)	Hex(4) HexNAc(3)	0
N	null	Hex(3)HexNAc(7)Sulf(1)	O(3) S Hex(3) HexNAc(7)	0
N	null	dHex(2)Hex(2)HexNAc(2)	dHex(2) Hex(2) HexNAc(2)	0
N	Hex(5)HexNAc(2)	Hex(5)HexNAc(2)	Hex(5) HexNAc(2)	0
N	Hex(2)HexNAc(2)	Hex(2)HexNAc(2)	Hex(2) HexNAc(2)	0
N	null	Hex(4)HexNAc(5)	Hex(4) HexNAc(5)	0
N	null	Hex(3)HexNAc(4)Pent(1)	Hex(3) HexNAc(4) Pent(1)	0
N	null	Hex(8)HexNAc(1)	Hex(8) HexNAc(1)	0
N	null	dHex(1)Hex(3)HexNAc(5)Sulf(1)	O(3) S dHex Hex(3) HexNAc(5)	0
N	Hex(1)HexNAc(1)NeuAc(1)	Hex(1)HexNAc(1)NeuAc(1)	Hex HexNAc NeuAc	0
N	HexNAc(2)dHex(2)	HexNAc(2)dHex(2)	dHex(2) HexNAc(2)	0
N	null	dHex(1)Hex(3)HexNAc(4)Pent(1)	dHex(1) Hex(3) HexNAc(4) Pent(1)	0
N	null	dHex(1)Hex(3)HexNAc(5)	dHex(1) Hex(3) HexNAc(5)	0
N	null	dHex(1)Hex(4)HexNAc(2)Pent(1)	dHex(1) Hex(4) HexNAc(2) Pent(1)	0
N	null	Hex(5)HexNAc(4)Sulf(1)	O(3) S Hex(5) HexNAc(4)	0
N	null	dHex(1)Hex(5)HexNAc(4)NeuAc(1)	dHex Hex(5) HexNAc(4) NeuAc	0
N	null	dHex(1)Hex(4)HexNAc(4)Pent(1)	dHex(1) Hex(4) HexNAc(4) Pent(1)	0
N	null	dHex(1)Hex(4)HexNAc(2)	dHex(1) Hex(4) HexNAc(2)	0
N	null	Hex(5)HexNAc(4)NeuAc(1)	Hex(5) HexNAc(4) NeuAc	0
N	null	Hex(7)HexNAc(1)	Hex(7) HexNAc(1)	0
N	null	dHex(1)Hex(3)HexNAc(4)Sulf(1)	O(3) S dHex Hex(3) HexNAc(4)	0
N	null	dHex(1)Hex(5)HexA(1)HexNAc(3)Sulf(1)	O(3) S dHex Hex(5) HexA HexNAc(3)	0
N	null	dHex(1)Hex(5)HexNAc(3)Sulf(1)	O(3) S dHex Hex(5) HexNAc(3)	0
N	null	dHex(2)Hex(3)HexNAc(6)	dHex(2) Hex(3) HexNAc(6)	0
N	HexNAc(1)dHex(1)	HexNAc(1)dHex(1)	dHex HexNAc	0
N	Hex(1)HexNAc(2)	Hex(1)HexNAc(2)	Hex HexNAc(2)	0
N	null	dHex(1)Hex(4)HexNAc(3)	dHex(1) Hex(4) HexNAc(3)	0
N	null	dHex(1)Hex(6)HexNAc(3)Sulf(1)	O(3) S dHex Hex(6) HexNAc(3)	0
N	Ammonia-loss	Ammonia-loss	H(-3) N(-1)	0
N	null	dHex(1)Hex(5)HexNAc(5)	dHex(1) Hex(5) HexNAc(5)	0
N	null	dHex(1)Hex(4)HexNAc(5)Sulf(1)	O(3) S dHex Hex(4) HexNAc(5)	0
N	null	Hex(4)HexNAc(2)	Hex(4) HexNAc(2)	0
N	null	dHex(1)Hex(5)HexNAc(3)NeuAc(1)	dHex(1) Hex(5) HexNAc(3) NeuAc(1)	0
N	null	dHex(1)Hex(5)HexNAc(4)Me(2)Pent(1)	dHex(1) Hex(5) HexNAc(4) Me(2) Pent(1)	0
N	null	dHex(1)Hex(3)HexNAc(4)Pent(2)	dHex(1) Hex(3) HexNAc(4) Pent(2)	0
N	null	Hex(9)HexNAc(2)	Hex(9) HexNAc(2)	0
N	null	Hex(6)HexNAc(3)	Hex(6) HexNAc(3)	0
N	null	dHex(1)Hex(5)HexNAc(4)Pent(1)	dHex(1) Hex(5) HexNAc(4) Pent(1)	0
N	dHex(1)Hex(3)HexNAc(4)	dHex(1)Hex(3)HexNAc(4)	dHex Hex(3) HexNAc(4)	0
N	null	Hex(7)HexNAc(3)	Hex(7) HexNAc(3)	0
N	Hex(5)HexNAc(4)	Hex(5)HexNAc(4)	Hex(5) HexNAc(4)	0
N	null	dHex(1)Hex(4)HexNAc(3)Pent(1)	dHex(1) Hex(4) HexNAc(3) Pent(1)	0
N	null	Hex(4)HexNAc(4)NeuAc(1)	Hex(4) HexNAc(4) NeuAc(1)	0
N	Hex(3)	Hex(3)	Hex(3)	0
N	Hydroxymethyl	Hydroxymethyl	H(2) C O	0
N	Hex(3)HexNAc(2)Phos(1)	Hex(3)HexNAc(2)Phos(1)	H O(3) P Hex(3) HexNAc(2)	0
N	Hex(1)HexNAc(1)dHex(1)	Hex(1)HexNAc(1)dHex(1)	dHex Hex HexNAc	0
N	null	Hex(4)HexNAc(4)Me(2)Pent(1)	Hex(4) HexNAc(4) Me(2) Pent(1)	0
N	null	Hex(6)HexNAc(2)	Hex(6) HexNAc(2)	0
N	null	dHex(1)Hex(7)HexNAc(3)Sulf(1)	O(3) S dHex Hex(7) HexNAc(3)	0
N	dHex	dHex	dHex	0
N	null	dHex(1)Hex(3)HexNAc(2)Sulf(1)	O(3) S dHex Hex(3) HexNAc(2)	0
N	null	dHex(1)Hex(3)HexNAc(2)Pent(1)	dHex(1) Hex(3) HexNAc(2) Pent(1)	0
N	Hex(2)HexNAc(2)Pent(1)	Hex(2)HexNAc(2)Pent(1)	Pent Hex(2) HexNAc(2)	0
N	null	Hex(7)HexNAc(2)	Hex(7) HexNAc(2)	0
N	null	dHex(2)Hex(4)HexNAc(3)NeuAc(1)Sulf(1)	O(3) S dHex(2) Hex(4) HexNAc(3) NeuAc	0
N	null	dHex(1)Hex(5)HexNAc(4)Sulf(1)	O(3) S dHex Hex(5) HexNAc(4)	0
N	null	dHex(1)Hex(5)HexNAc(3)NeuGc(1)Sulf(1)	O(3) S dHex Hex(5) HexNAc(3) NeuGc	0
N	null	Hex(7)HexNAc(2)Phos(1)	H O(3) P Hex(7) HexNAc(2)	0
N	null	dHex(2)Hex(3)HexNAc(4)Pent(1)	dHex(2) Hex(3) HexNAc(4) Pent(1)	0
N	null	Hex(1)HexNAc(1)	Hex HexNAc	0
N	null	NeuAc	NeuAc	0
N	Hex(3)HexNAc(1)Pent(1)	Hex(3)HexNAc(1)Pent(1)	Pent Hex(3) HexNAc	0
N	null	dHex(3)Hex(4)HexNAc(4)Sulf(1)	O(3) S dHex(3) Hex(4) HexNAc(4)	0
N	Methylthio	Methylthio	H(2) C S	0
N	null	Hex(3)HexNAc(3)	Hex(3) HexNAc(3)	0
N	null	PhosphoHex(2)	H O(3) P Hex(2)	0
N	null	Hex(5)HexNAc(4)Me(2)Pent(1)	Hex(5) HexNAc(4) Me(2) Pent(1)	0
N	null	dHex(2)Hex(5)HexNAc(4)	dHex(2) Hex(5) HexNAc(4)	0
N	null	dHex(2)Hex(4)HexNAc(3)	dHex(2) Hex(4) HexNAc(3)	0
N	null	dHex(1)Hex(5)HexNAc(2)Pent(1)	dHex(1) Hex(5) HexNAc(2) Pent(1)	0
N	null	Hex(6)HexNAc(4)	Hex(6) HexNAc(4)	0
N	null	dHex(3)Hex(3)HexNAc(3)Pent(1)	dHex(3) Hex(3) HexNAc(3) Pent(1)	0
N	Xlink:DTBP[87]	Xlink:DTBPc	H(5) C(3) N S	0
N	null	dHex(1)Hex(3)HexNAc(4)Pent(3)	dHex(1) Hex(3) HexNAc(4) Pent(3)	0
N	null	dHex(1)Hex(3)HexNAc(3)Pent(1)	dHex(1) Hex(3) HexNAc(3) Pent(1)	0
N	Deamidated	Deamidated	H(-1) N(-1) O	0
N	null	Xlink:DFDNB	H(2) C(6) N(2) O(4) F(2)	0
N	null	Hex(4)HexNAc(6)	Hex(4) HexNAc(6)	0
N	dHex(1)Hex(5)HexNAc(4)	dHex(1)Hex(5)HexNAc(4)	dHex Hex(5) HexNAc(4)	0
N	null	dHex(1)Hex(3)HexNAc(6)	dHex(1) Hex(3) HexNAc(6)	0
N	null	Hex(4)HexNAc(2)Pent(1)	Hex(4) HexNAc(2) Pent(1)	0
N	HexN	HexN	HexN	0
N	null	Hex(4)HexNAc(4)Sulf(1)	O(3) S Hex(4) HexNAc(4)	0
N	null	dHex(1)Hex(5)HexNAc(3)NeuAc(1)Sulf(1)	O(3) S dHex Hex(5) HexNAc(3) NeuAc	0
N	null	dHex(2)Hex(4)HexNAc(2)	dHex(2) Hex(4) HexNAc(2)	0
N	null	Hex(4)HexNAc(3)NeuGc(1)	Hex(4) HexNAc(3) NeuGc(1)	0
N	null	dHex(1)Hex(3)HexNAc(3)	dHex(1) Hex(3) HexNAc(3)	0
N	Dimethyl	Dimethyl	H(4) C(2)	0
N	null	Hex(6)HexNAc(5)	Hex(6) HexNAc(5)	0
N	Hex(3)HexNAc(2)	Hex(3)HexNAc(2)	Hex(3) HexNAc(2)	0
N	null	dHex(1)Hex(3)HexNAc(2)	dHex(1) Hex(3) HexNAc(2)	0
N	Hex(1)HexNAc(2)dHex(1)	Hex(1)HexNAc(2)dHex(1)	dHex Hex HexNAc(2)	0
N	Methyl	Methyl	H(2) C	0
N	null	Hex(6)HexNAc(3)Phos(1)	H O(3) P Hex(6) HexNAc(3)	0
N	null	dHex(1)Hex(3)HexNAc(3)Pent(2)	dHex(1) Hex(3) HexNAc(3) Pent(2)	0
N	null	dHex(1)Hex(6)HexNAc(3)	dHex(1) Hex(6) HexNAc(3)	0
N	null	dHex(1)Hex(3)HexNAc(6)Sulf(1)	O(3) S dHex Hex(3) HexNAc(6)	0
N	null	Hex(5)HexNAc(2)Phos(1)	H O(3) P Hex(5) HexNAc(2)	0
N	null	dHex(3)Hex(3)HexNAc(4)	dHex(3) Hex(3) HexNAc(4)	0
N	null	dHex(3)Hex(4)HexNAc(4)	dHex(3) Hex(4) HexNAc(4)	0
N	null	dHex(1)Hex(5)HexNAc(3)NeuGc(1)	dHex(1) Hex(5) HexNAc(3) NeuGc(1)	0
N	null	dHex(1)Hex(5)HexNAc(4)NeuAc(2)	dHex Hex(5) HexNAc(4) NeuAc(2)	0
N	null	dHex(1)Hex(3)HexNAc(5)NeuAc(1)	dHex(1) Hex(3) HexNAc(5) NeuAc(1)	0
N	null	dHex(1)Hex(7)HexNAc(2)	dHex(1) Hex(7) HexNAc(2)	0
N	null	Hex(3)HexNAc(5)	Hex(3) HexNAc(5)	0
N	null	Hex(4)HexNAc(2)NeuAc(1)	Hex(4) HexNAc(2) NeuAc(1)	0
N	null	dHex(2)Hex(4)HexNAc(4)Sulf(1)	O(3) S dHex(2) Hex(4) HexNAc(4)	0
N	Hep	Hep	Hep	0
N	null	Hex(5)HexNAc(4)NeuAc(2)	Hex(5) HexNAc(4) NeuAc(2)	0
