site	PSI-MS_name	name	composition	priority
A	Fluoro	Fluoro	H(-1) F	0
C	null	HCysteinyl	H(7) C(4) N O(2) S	0
C	null	SulfurDioxide	O(2) S	0
C	null	Dimethylaminoethyl	H(9) C(4) N	0
C	null	AROD	H(52) C(35) N(10) O(9) S(2)	0
C	Hydroxyfarnesyl	Hydroxyfarnesyl	H(24) C(15) O	0
C	Propionamide	Propionamide	H(5) C(3) N O	0
C	FMNH	FMNH	H(19) C(17) N(4) O(9) P	0
C	null	Biotin:Sigma-B1267	H(27) C(20) N(5) O(5) S	0
C	null	DNCB_hapten	H(2) C(6) N(2) O(4)	0
C	MolybdopterinGD	MolybdopterinGD	H(47) C(40) N(20) O(26) P(4) S(4) Mo	0
C	Biotin-HPDP	Biotin-HPDP	H(32) C(19) N(4) O(3) S(2)	0
C	null	cGMP	H(10) C(10) N(5) O(7) P	0
C	Molybdopterin	Molybdopterin	H(11) C(10) N(5) O(8) P S(2) Mo	0
C	null	DTT_C	H(8) C(4) O(2) S	0
C	null	Biotin:Thermo-21901+H2O	H(37) C(23) N(5) O(8) S	0
C	CuSMo	CuSMo	H(24) C(19) N(8) O(15) P(2) S(3) Cu Mo	0
C	ADP-Ribosyl	ADP-Ribosyl	H(13) C(10) N(5) O(9) P(2) Pent	0
C	null	Thiazolidine	C	0
C	null	Iodoacetanilide	H(7) C(8) N O	0
C	Cyano	Cyano	H(-1) C N	0
C	Cys->Dha	Cys->Dha	H(-2) S(-1)	0
C	Menadione	Menadione	H(6) C(11) O(2)	0
C	null	maleimide	H(3) C(4) N O(2)	0
C	IBTP	IBTP	H(21) C(22) P	0
C	null	IASD	H(16) C(18) N(2) O(8) S(2)	0
C	Nmethylmaleimide+water	Nmethylmaleimide+water	H(7) C(5) N O(3)	0
C	HMVK	HMVK	H(6) C(4) O(2)	0
C	null	2-dimethylsuccinyl	H(8) C(6) O(4)	0
C	null	Dicarbamidomethyl	H(6) C(4) N(2) O(2)	0
C	null	HNE-BAHAH	H(45) C(25) N(5) O(4) S	0
C	Methylthio	Methylthio	H(2) C S	0
C	MolybdopterinGD+Delta:S(-1)Se(1)	MolybdopterinGD+Delta:S(-1)Se(1)	H(47) C(40) N(20) O(26) P(4) S(3) Se Mo	0
C	PEO-Iodoacetyl-LC-Biotin	PEO-Iodoacetyl-LC-Biotin	H(30) C(18) N(4) O(5) S	0
C	Sulfide	Sulfide	S	0
C	BHTOH	BHTOH	H(22) C(15) O(2)	0
C	null	lapachenole	H(16) C(16) O(2)	0
C	null	HN2_mustard	H(11) C(5) N O	0
C	Archaeol	Archaeol	H(86) C(43) O(2)	0
C	null	NA-LNO2	H(31) C(18) N O(4)	0
C	null	iodoTMT	H(28) C(16) N(4) O(3)	0
C	null	NO_SMX_SIMD	H(9) C(10) N(3) O(4) S	0
C	GeranylGeranyl	GeranylGeranyl	H(32) C(20)	0
C	null	BMP-piperidinol	H(17) C(18) N O	0
C	null	Xlink:SMCC	H(15) C(12) N O(4)	0
C	null	NEM:2H(5)	H(2) 2H(5) C(6) N O(2)	0
C	FAD	FAD	H(31) C(27) N(9) O(15) P(2)	0
C	Farnesyl	Farnesyl	H(24) C(15)	0
C	null	Carboxymethyl:13C(2)	H(2) 13C(2) O(2)	0
C	null	HNE-Delta:H(2)O	H(14) C(9) O	0
C	NIPCAM	NIPCAM	H(9) C(5) N O	0
C	Phospho	Phospho	H O(3) P	0
C	Hydroxycinnamyl	Hydroxycinnamyl	H(6) C(9) O(2)	0
C	Delta:S(-1)Se(1)	Delta:S(-1)Se(1)	S(-1) Se	0
C	Cytopiloyne+water	Cytopiloyne+water	H(24) C(19) O(8)	0
C	null	4AcAllylGal	H(24) C(17) O(9)	0
C	Pyridylethyl	Pyridylethyl	H(7) C(7) N	0
C	Sulfo	Sulfo	O(3) S	0
C	null	NEM:2H(5)+H2O	H(4) 2H(5) C(6) N O(3)	0
C	CyDye-Cy3	CyDye-Cy3	H(44) C(37) N(4) O(6) S	0
C	null	NO_SMX_SEMD	H(10) C(10) N(3) O(3) S	0
C	null	4-ONE	H(14) C(9) O(2)	0
C	CyDye-Cy5	CyDye-Cy5	H(44) C(38) N(4) O(6) S	0
C	null	4-ONE+Delta:H(-2)O(-1)	H(12) C(9) O	0
C	null	Biotin-phenacyl	H(38) C(29) N(8) O(6) S	0
C	Methyl	Methyl	H(2) C	0
C	Fluorescein	Fluorescein	H(14) C(22) N O(6)	0
C	Oxidation	Oxidation	O	0
C	null	azole	H(-4) O(-1)	0
C	null	DimethylArsino	H(5) C(2) As	0
C	Palmitoyl	Palmitoyl	H(30) C(16) O	0
C	Cytopiloyne	Cytopiloyne	H(22) C(19) O(7)	0
C	null	Oxidation+NEM	H(7) C(6) N O(3)	0
C	null	Atto495Maleimide	H(32) C(27) N(5) O(3)	0
C	HNE	HNE	H(16) C(9) O(2)	0
C	Nethylmaleimide+water	Nethylmaleimide+water	H(9) C(6) N O(3)	0
C	Tripalmitate	Tripalmitate	H(96) C(51) O(5)	0
C	null	EGCG1	H(16) C(22) O(11)	0
C	Diacylglycerol	Diacylglycerol	H(68) C(37) O(4)	0
C	DeStreak	DeStreak	H(4) C(2) O S	0
C	Myristoyl	Myristoyl	H(26) C(14) O	0
C	Crotonaldehyde	Crotonaldehyde	H(6) C(4) O	0
C	Heme	Heme	H(32) C(34) N(4) O(4) Fe	0
C	Cysteinyl	Cysteinyl	H(5) C(3) N O(2) S	0
C	Phycocyanobilin	Phycocyanobilin	H(38) C(33) N(4) O(6)	0
C	null	Cys->SecNEM	H(7) C(6) N O(2) S(-1) Se	0
C	FNEM	FNEM	H(13) C(24) N O(7)	0
C	Phytochromobilin	Phytochromobilin	H(36) C(33) N(4) O(6)	0
C	Phycoerythrobilin	Phycoerythrobilin	H(40) C(33) N(4) O(6)	0
C	PropylNAGthiazoline	PropylNAGthiazoline	H(14) C(9) N O(4) S	0
C	Glutathione	Glutathione	H(15) C(10) N(3) O(6) S	0
C	Cys->PyruvicAcid	Cys->PyruvicAcid	H(-3) N(-1) O S(-1)	0
C	BADGE	BADGE	H(24) C(21) O(4)	0
C	Bromobimane	Bromobimane	H(10) C(10) N(2) O(2)	0
C	Carbamyl	Carbamyl	H C N O	0
C	Ethanolyl	Ethanolyl	H(4) C(2) O	0
C	null	Iodoacetanilide:13C(6)	H(7) C(2) 13C(6) N O	0
C	Dehydro	Dehydro	H(-1)	0
C	null	cGMP+RMP-loss	H(4) C(5) N(5) O	0
C	null	Propiophenone	H(8) C(9) O	0
C	null	EGCG2	H(11) C(15) O(6)	0
C	null	Diethylphosphate	H(9) C(4) O(3) P	0
C	null	iodoTMT6plex	H(28) C(12) 13C(4) N(3) 15N O(3)	0
C	null	Biotin:Thermo-21901+2H2O	H(39) C(23) N(5) O(9) S	0
C	null	dichlorination	H(-2) Cl(2)	0
C	CoenzymeA	CoenzymeA	H(34) C(21) N(7) O(16) P(3) S	0
C	Xlink:B10621	Xlink:B10621	H(30) C(31) N(4) O(6) S I	0
C	null	Malonyl	H(2) C(3) O(3)	0
C	null	SulfoGMBS	H(26) C(22) N(4) O(5) S	0
C	null	2-monomethylsuccinyl	H(6) C(5) O(4)	0
C	Trioxidation	Trioxidation	O(3)	0
C	Acetyl	Acetyl	H(2) C(2) O	0
C	FMNC	FMNC	H(21) C(17) N(4) O(9) P	0
C	Nitrosyl	Nitrosyl	H(-1) N O	0
C	null	maleimide3	H(59) C(37) N(7) O(23)	0
C	null	cysTMT	H(25) C(14) N(3) O(2) S	0
C	Carbamidomethyl	Carbamidomethyl	H(3) C(2) N O	0
C	FTC	FTC	H(15) C(21) N(3) O(5) S	0
C	null	Cys->ethylaminoAla	H(5) C(2) N S(-1)	0
C	null	Biotin:Cayman-10141	H(54) C(35) N(4) O(4) S	0
C	Amidino	Amidino	H(2) C N(2)	0
C	null	CarboxymethylDTT	H(10) C(6) O(4) S(2)	0
C	null	Biotin:Thermo-21911	H(71) C(41) N(5) O(16) S	0
